PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,FamilySize,IsAlone,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Teenager,AgeGroup_YoungAdult,FareBand_Low,FareBand_Medium,FareBand_VeryHigh,FamilyType_Small,FamilyType_Solo
44,1,1.0,Mr. James Brown,male,30.4,0.0,0.0,829482,0.7677,S,1.0,1,False,False,False,True,True,False,False,False,True
45,0,2.0,Mr. John Smith,male,26.7,0.0,0.0,632087,1.5681,S,1.0,1,False,False,False,True,True,False,False,False,True
46,1,1.0,Miss. Susan Jackson,female,20.3,0.0,0.0,141016,24.2055,S,1.0,1,False,False,False,True,False,False,False,False,True
47,0,3.0,Mrs. Barbara Thomas,female,20.1,1.0,0.0,239147,14.3857,S,2.0,0,False,False,False,True,False,False,False,True,False
48,0,1.0,Mr. Charles Wilson,male,25.4,1.0,0.0,622545,69.16345,S,2.0,0,False,False,False,True,False,False,True,True,False
49,0,3.0,Mrs. Barbara Thomas,female,34.6,0.0,0.0,58070,8.009,C,1.0,1,False,False,False,True,False,True,False,False,True
50,0,2.0,Mr. Charles Wilson,male,15.3,1.0,0.0,801598,18.6775,S,2.0,0,False,False,True,False,False,False,False,True,False
51,1,3.0,Mr. Charles Wilson,male,35.4,0.0,0.0,410337,2.7153,S,1.0,1,False,False,False,False,True,False,False,False,True
52,1,3.0,Mrs. Patricia Taylor,female,50.2,2.5,0.0,680037,21.2496,S,3.5,0,False,False,False,False,False,False,False,False,False
53,1,3.0,Miss. Susan Jackson,female,28.0,0.0,0.0,721921,44.4761,S,1.0,1,False,False,False,True,False,False,True,False,True
54,1,1.0,Miss. Mary Johnson,female,24.3,2.5,0.0,485125,26.2746,S,3.5,0,False,False,False,True,False,False,False,False,False
55,0,1.0,Mr. Charles Wilson,male,29.3,1.0,0.0,883841,57.3596,S,2.0,0,False,False,False,True,False,False,True,True,False
56,1,1.0,Mr. Charles Wilson,male,35.6,0.0,0.0,47664,7.5643,S,1.0,1,False,False,False,False,False,True,False,False,True
57,0,3.0,Miss. Mary Johnson,female,12.7,0.0,0.0,926358,10.6473,S,1.0,1,False,False,True,False,False,True,False,False,True
58,0,3.0,Mr. John Smith,male,22.8,2.5,0.0,518034,9.0835,S,3.5,0,False,False,False,True,False,True,False,False,False
59,0,3.0,Mr. Charles Wilson,male,39.0,1.0,0.0,797725,2.0279,S,2.0,0,False,False,False,False,True,False,False,True,False
60,0,3.0,Mr. James Brown,male,32.6,0.0,0.0,949947,7.5857,S,1.0,1,False,False,False,True,False,True,False,False,True
61,0,3.0,Mr. John Smith,male,25.9,1.0,0.0,508477,5.2861,S,2.0,0,False,False,False,True,True,False,False,True,False
62,0,1.0,Mr. George Moore,male,3.1,0.0,0.0,321356,61.9744,C,1.0,1,True,False,False,False,False,False,True,False,True
63,1,3.0,Miss. Susan Jackson,female,34.5,0.0,0.0,85276,11.4537,S,1.0,1,False,False,False,True,False,True,False,False,True
64,0,2.0,Mr. James Brown,male,38.7,0.0,0.0,808991,0.1706,S,1.0,1,False,False,False,False,True,False,False,False,True
65,0,2.0,Mr. William Davis,male,13.9,0.0,0.0,75231,28.6263,S,1.0,1,False,False,True,False,False,False,False,False,True
66,0,3.0,Mr. James Brown,male,27.4,1.0,0.0,642565,16.2282,S,2.0,0,False,False,False,True,False,False,False,True,False
67,0,1.0,Mrs. Barbara Thomas,female,30.2,0.0,0.0,180116,38.3173,S,1.0,1,False,False,False,True,False,False,True,False,True
68,1,1.0,Mr. William Davis,male,38.2,1.0,0.0,293891,4.5686,S,2.0,0,False,False,False,False,True,False,False,True,False
69,0,3.0,Mr. Charles Wilson,male,29.8,0.0,0.0,771816,18.2809,Q,1.0,1,False,False,False,True,False,False,False,False,True
70,1,1.0,Miss. Susan Jackson,female,6.1,0.0,0.0,476725,69.16345,C,1.0,1,True,False,False,False,False,False,True,False,True
71,1,3.0,Miss. Mary Johnson,female,22.0,0.0,0.0,433345,3.5703,S,1.0,1,False,False,False,True,True,False,False,False,True
72,0,2.0,Mrs. Barbara Thomas,female,33.0,0.0,0.0,272181,7.8172,S,1.0,1,False,False,False,True,False,True,False,False,True
73,0,2.0,Miss. Susan Jackson,female,41.9,0.0,0.0,900726,4.0622,S,1.0,1,False,False,False,False,True,False,False,False,True
74,1,2.0,Mr. James Brown,male,20.7,0.0,0.0,107847,17.2046,S,1.0,1,False,False,False,True,False,False,False,False,True
75,1,2.0,Mrs. Barbara Thomas,female,61.4,0.0,0.0,638030,3.3646,S,1.0,1,False,True,False,False,True,False,False,False,True
76,1,3.0,Mr. George Moore,male,2.2,0.0,0.0,787725,5.7247,S,1.0,1,True,False,False,False,False,True,False,False,True
77,1,2.0,Miss. Mary Johnson,female,21.5,0.0,0.0,58503,23.8813,S,1.0,1,False,False,False,True,False,False,False,False,True
78,0,3.0,Mrs. Barbara Thomas,female,28.5,0.0,0.0,824639,10.6762,S,1.0,1,False,False,False,True,False,True,False,False,True
79,0,3.0,Miss. Susan Jackson,female,26.8,1.0,0.0,512376,6.3507,Q,2.0,0,False,False,False,True,False,True,False,True,False
80,0,3.0,Mrs. Barbara Thomas,female,21.2,1.0,0.0,305385,7.087,S,2.0,0,False,False,False,True,False,True,False,True,False
81,1,3.0,Mr. John Smith,male,36.2,0.0,0.0,927562,10.7353,Q,1.0,1,False,False,False,False,False,True,False,False,True
82,1,3.0,Mr. Charles Wilson,male,35.1,0.0,0.0,995676,0.0765,C,1.0,1,False,False,False,False,True,False,False,False,True
83,0,1.0,Mrs. Barbara Thomas,female,30.4,0.0,0.0,368315,6.8681,S,1.0,1,False,False,False,True,False,True,False,False,True
84,0,1.0,Miss. Susan Jackson,female,34.5,2.5,0.0,680194,69.16345,C,3.5,0,False,False,False,True,False,False,True,False,False
85,0,2.0,Mr. William Davis,male,23.6,0.0,0.0,484329,1.6216,S,1.0,1,False,False,False,True,True,False,False,False,True
86,0,3.0,Mr. Charles Wilson,male,6.2,0.0,0.0,269966,15.9499,S,1.0,1,True,False,False,False,False,False,False,False,True
87,1,1.0,Mr. William Davis,male,19.3,0.0,0.0,913734,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
88,1,3.0,Mrs. Patricia Taylor,female,32.0,0.0,0.0,692550,4.1034,S,1.0,1,False,False,False,True,True,False,False,False,True
89,1,3.0,Mrs. Barbara Thomas,female,32.1,0.0,0.0,82832,6.0166,S,1.0,1,False,False,False,True,False,True,False,False,True
90,0,2.0,Mr. William Davis,male,30.3,1.0,0.0,293527,16.8293,S,2.0,0,False,False,False,True,False,False,False,True,False
91,0,3.0,Mr. James Brown,male,37.7,0.0,0.0,776334,27.7499,S,1.0,1,False,False,False,False,False,False,False,False,True
92,1,1.0,Miss. Susan Jackson,female,21.3,0.0,0.0,396435,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
93,1,1.0,Mrs. Barbara Thomas,female,30.1,0.0,0.0,952164,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
94,0,3.0,Mr. George Moore,male,29.7,0.0,0.0,773389,1.1778,S,1.0,1,False,False,False,True,True,False,False,False,True
95,1,3.0,Mr. James Brown,male,28.5,1.0,0.0,799106,14.3793,S,2.0,0,False,False,False,True,False,False,False,True,False
96,0,3.0,Mr. George Moore,male,34.9,0.0,0.0,386244,6.8659,S,1.0,1,False,False,False,True,False,True,False,False,True
97,0,2.0,Mr. George Moore,male,15.8,1.0,0.0,381513,12.724,S,2.0,0,False,False,True,False,False,True,False,True,False
99,0,3.0,Mrs. Patricia Taylor,female,49.9,0.0,0.0,750400,2.7564,C,1.0,1,False,False,False,False,True,False,False,False,True
100,0,3.0,Miss. Susan Jackson,female,46.7,2.5,0.0,428882,20.3203,S,3.5,0,False,False,False,False,False,False,False,False,False
101,0,3.0,Mr. William Davis,male,33.1,0.0,0.0,53794,7.8658,S,1.0,1,False,False,False,True,False,True,False,False,True
102,1,2.0,Mrs. Patricia Taylor,female,12.3,1.0,0.0,929580,7.181,S,2.0,0,False,False,True,False,False,True,False,True,False
103,0,3.0,Mr. John Smith,male,29.6,0.0,0.0,992358,6.299,C,1.0,1,False,False,False,True,False,True,False,False,True
104,0,2.0,Mr. Charles Wilson,male,52.4,1.0,0.0,138544,38.5378,S,2.0,0,False,False,False,False,False,False,True,True,False
105,1,1.0,Mr. George Moore,male,38.7,0.0,0.0,979846,69.16345,S,1.0,1,False,False,False,False,False,False,True,False,True
106,0,3.0,Mr. William Davis,male,26.7,0.0,0.0,47555,4.1325,S,1.0,1,False,False,False,True,True,False,False,False,True
107,0,1.0,Miss. Mary Johnson,female,38.8,1.0,0.0,720568,10.4999,S,2.0,0,False,False,False,False,False,True,False,True,False
108,1,3.0,Mrs. Patricia Taylor,female,11.3,2.0,0.0,828838,3.7745,S,3.0,0,True,False,False,False,True,False,False,True,False
109,0,3.0,Mr. George Moore,male,34.9,1.0,0.0,464788,32.958,S,2.0,0,False,False,False,True,False,False,True,True,False
110,0,1.0,Mr. John Smith,male,14.0,1.0,0.0,50262,69.16345,Q,2.0,0,False,False,True,False,False,False,True,True,False
111,0,3.0,Miss. Mary Johnson,female,36.5,1.0,0.0,887752,9.9119,S,2.0,0,False,False,False,False,False,True,False,True,False
112,0,3.0,Mr. William Davis,male,40.1,0.0,0.0,752021,11.7951,S,1.0,1,False,False,False,False,False,True,False,False,True
113,1,3.0,Mr. Charles Wilson,male,26.6,0.0,0.0,426432,5.9248,S,1.0,1,False,False,False,True,False,True,False,False,True
114,1,3.0,Mrs. Barbara Thomas,female,17.0,0.0,0.0,471333,21.3931,S,1.0,1,False,False,True,False,False,False,False,False,True
115,1,3.0,Mr. Charles Wilson,male,35.7,0.0,0.0,746496,9.6309,C,1.0,1,False,False,False,False,False,True,False,False,True
116,1,3.0,Mr. James Brown,male,22.6,0.0,0.0,302428,1.6139,S,1.0,1,False,False,False,True,True,False,False,False,True
117,1,3.0,Mr. John Smith,male,18.2,0.0,0.0,685531,1.7964,S,1.0,1,False,False,False,True,True,False,False,False,True
118,0,2.0,Mrs. Patricia Taylor,female,34.6,0.0,0.0,887059,15.3945,S,1.0,1,False,False,False,True,False,False,False,False,True
119,1,3.0,Mr. John Smith,male,18.7,1.0,0.0,941837,35.8517,C,2.0,0,False,False,False,True,False,False,True,True,False
120,0,1.0,Mr. William Davis,male,7.0,0.0,0.0,433751,30.969,C,1.0,1,True,False,False,False,False,False,True,False,True
121,1,3.0,Miss. Linda Anderson,female,35.1,0.0,0.0,99023,26.4771,S,1.0,1,False,False,False,False,False,False,False,False,True
122,1,3.0,Mr. James Brown,male,27.6,0.0,0.0,217012,18.7763,S,1.0,1,False,False,False,True,False,False,False,False,True
123,0,1.0,Mrs. Patricia Taylor,female,33.3,1.0,0.0,174772,23.9206,S,2.0,0,False,False,False,True,False,False,False,True,False
124,0,3.0,Mr. William Davis,male,31.9,1.0,0.0,486799,0.4812,Q,2.0,0,False,False,False,True,True,False,False,True,False
125,0,3.0,Miss. Susan Jackson,female,31.2,0.0,0.0,51516,1.3964,S,1.0,1,False,False,False,True,True,False,False,False,True
126,0,1.0,Mr. Charles Wilson,male,35.4,0.0,0.0,287721,69.16345,S,1.0,1,False,False,False,False,False,False,True,False,True
127,1,3.0,Mr. Charles Wilson,male,47.0,0.0,0.0,265623,2.8955,S,1.0,1,False,False,False,False,True,False,False,False,True
128,1,3.0,Mr. William Davis,male,22.2,0.0,0.0,549303,6.0327,S,1.0,1,False,False,False,True,False,True,False,False,True
129,0,1.0,Mr. Charles Wilson,male,27.3,0.0,0.0,101104,58.5103,S,1.0,1,False,False,False,True,False,False,True,False,True
130,0,3.0,Miss. Susan Jackson,female,6.8,0.0,0.0,386556,16.8049,Q,1.0,1,True,False,False,False,False,False,False,False,True
131,0,2.0,Miss. Susan Jackson,female,49.7,0.0,0.0,363884,2.4034,S,1.0,1,False,False,False,False,True,False,False,False,True
132,0,3.0,Mr. John Smith,male,38.9,0.0,0.0,762644,6.7794,C,1.0,1,False,False,False,False,False,True,False,False,True
133,0,3.0,Mr. James Brown,male,19.4,2.5,0.0,424452,8.6285,S,3.5,0,False,False,False,True,False,True,False,False,False
134,0,3.0,Mrs. Barbara Thomas,female,27.0,2.5,0.0,338784,10.1183,S,3.5,0,False,False,False,True,False,True,False,False,False
135,1,3.0,Miss. Susan Jackson,female,7.6,0.0,0.0,617478,22.1745,S,1.0,1,True,False,False,False,False,False,False,False,True
136,0,3.0,Mr. James Brown,male,30.2,0.0,0.0,139516,2.4486,S,1.0,1,False,False,False,True,True,False,False,False,True
137,0,3.0,Mr. James Brown,male,19.3,0.0,0.0,973208,21.442,Q,1.0,1,False,False,False,True,False,False,False,False,True
138,1,2.0,Mr. John Smith,male,27.0,0.0,0.0,183441,23.6102,C,1.0,1,False,False,False,True,False,False,False,False,True
139,0,3.0,Mrs. Patricia Taylor,female,7.4,2.5,0.0,669006,10.5513,S,3.5,0,True,False,False,False,False,True,False,False,False
140,1,1.0,Mr. James Brown,male,58.5,0.0,0.0,97007,69.16345,S,1.0,1,False,False,False,False,False,False,True,False,True
141,1,3.0,Mr. William Davis,male,37.7,1.0,0.0,691266,6.9038,S,2.0,0,False,False,False,False,False,True,False,True,False
142,0,1.0,Mr. John Smith,male,24.6,0.0,0.0,752003,12.5128,Q,1.0,1,False,False,False,True,False,True,False,False,True
143,0,1.0,Miss. Mary Johnson,female,48.6,2.5,0.0,57728,69.16345,C,3.5,0,False,False,False,False,False,False,True,False,False
144,0,1.0,Mr. Charles Wilson,male,43.6,0.0,0.0,811310,62.4751,C,1.0,1,False,False,False,False,False,False,True,False,True
145,0,3.0,Mr. James Brown,male,41.0,1.0,0.0,519958,13.2589,S,2.0,0,False,False,False,False,False,True,False,True,False
146,0,2.0,Mr. Charles Wilson,male,38.7,0.0,0.0,925357,8.2498,S,1.0,1,False,False,False,False,False,True,False,False,True
147,0,3.0,Mr. George Moore,male,50.2,0.0,0.0,19145,30.8584,S,1.0,1,False,False,False,False,False,False,False,False,True
148,0,1.0,Mr. James Brown,male,25.5,0.0,0.0,622866,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
149,0,2.0,Mr. George Moore,male,24.5,0.0,0.0,28226,1.7854,S,1.0,1,False,False,False,True,True,False,False,False,True
150,0,3.0,Mr. William Davis,male,0.4,2.0,0.0,274946,7.7672,S,3.0,0,True,False,False,False,False,True,False,True,False
151,1,3.0,Mr. James Brown,male,23.6,2.0,0.0,558407,18.3566,S,3.0,0,False,False,False,True,False,False,False,True,False
152,0,2.0,Mr. Charles Wilson,male,10.5,1.0,0.0,73560,31.6107,C,2.0,0,True,False,False,False,False,False,True,True,False
153,0,3.0,Mrs. Barbara Thomas,female,21.7,0.0,0.0,67353,8.8712,C,1.0,1,False,False,False,True,False,True,False,False,True
154,0,3.0,Mrs. Patricia Taylor,female,14.8,1.0,0.0,255741,29.2681,S,2.0,0,False,False,True,False,False,False,False,True,False
155,1,3.0,Mr. Charles Wilson,male,24.4,0.0,0.0,758081,4.0498,S,1.0,1,False,False,False,True,True,False,False,False,True
156,0,1.0,Mrs. Patricia Taylor,female,36.1,0.0,0.0,395145,44.4064,S,1.0,1,False,False,False,False,False,False,True,False,True
157,1,1.0,Mr. John Smith,male,29.9,0.0,0.0,465342,69.16345,C,1.0,1,False,False,False,True,False,False,True,False,True
158,1,3.0,Mr. Charles Wilson,male,40.0,0.0,0.0,605929,69.16345,C,1.0,1,False,False,False,False,False,False,True,False,True
159,0,1.0,Mr. James Brown,male,48.1,0.0,0.0,61712,69.16345,C,1.0,1,False,False,False,False,False,False,True,False,True
160,1,3.0,Mr. James Brown,male,24.4,0.0,0.0,455405,25.4651,S,1.0,1,False,False,False,True,False,False,False,False,True
161,0,3.0,Mrs. Barbara Thomas,female,22.8,0.0,0.0,985288,1.2085,S,1.0,1,False,False,False,True,True,False,False,False,True
162,1,3.0,Miss. Mary Johnson,female,35.5,1.0,0.0,664373,26.0318,S,2.0,0,False,False,False,False,False,False,False,True,False
163,1,3.0,Mrs. Barbara Thomas,female,44.7,0.0,0.0,340429,5.0255,S,1.0,1,False,False,False,False,True,False,False,False,True
164,0,3.0,Mr. James Brown,male,40.4,0.0,0.0,125278,2.5534,S,1.0,1,False,False,False,False,True,False,False,False,True
165,0,2.0,Mr. John Smith,male,15.9,0.0,0.0,519272,5.4722,C,1.0,1,False,False,True,False,False,True,False,False,True
166,1,3.0,Mr. George Moore,male,35.8,0.0,0.0,708309,7.036,S,1.0,1,False,False,False,False,False,True,False,False,True
167,0,2.0,Mr. William Davis,male,31.3,0.0,0.0,175201,5.7855,S,1.0,1,False,False,False,True,False,True,False,False,True
168,0,3.0,Mr. Charles Wilson,male,45.0,0.0,0.0,820944,5.0245,S,1.0,1,False,False,False,False,True,False,False,False,True
169,0,3.0,Mr. James Brown,male,21.4,0.0,0.0,636365,1.885,Q,1.0,1,False,False,False,True,True,False,False,False,True
170,0,3.0,Mr. John Smith,male,20.7,1.0,0.0,744391,4.566,S,2.0,0,False,False,False,True,True,False,False,True,False
171,1,3.0,Mr. John Smith,male,39.7,0.0,0.0,466770,11.0408,S,1.0,1,False,False,False,False,False,True,False,False,True
172,0,3.0,Miss. Susan Jackson,female,0.4,1.0,0.0,274208,7.5807,S,2.0,0,True,False,False,False,False,True,False,True,False
173,0,2.0,Mrs. Barbara Thomas,female,19.1,0.0,0.0,629902,8.515,S,1.0,1,False,False,False,True,False,True,False,False,True
174,0,2.0,Miss. Mary Johnson,female,32.6,0.0,0.0,192639,27.4441,S,1.0,1,False,False,False,True,False,False,False,False,True
175,1,3.0,Mr. George Moore,male,14.8,1.0,0.0,127639,29.1162,S,2.0,0,False,False,True,False,False,False,False,True,False
176,0,2.0,Mr. James Brown,male,18.8,0.0,0.0,302155,28.2765,S,1.0,1,False,False,False,True,False,False,False,False,True
177,1,1.0,Mr. George Moore,male,27.6,0.0,0.0,343296,33.8913,C,1.0,1,False,False,False,True,False,False,True,False,True
178,0,2.0,Mrs. Barbara Thomas,female,41.6,1.0,0.0,738871,27.2861,S,2.0,0,False,False,False,False,False,False,False,True,False
179,1,2.0,Mr. George Moore,male,26.0,0.0,0.0,20960,3.297,S,1.0,1,False,False,False,True,True,False,False,False,True
180,0,2.0,Mr. John Smith,male,46.1,1.0,0.0,496744,2.7926,Q,2.0,0,False,False,False,False,True,False,False,True,False
181,0,1.0,Miss. Mary Johnson,female,14.3,0.0,0.0,131789,35.6225,S,1.0,1,False,False,True,False,False,False,True,False,True
182,0,1.0,Mr. William Davis,male,12.3,1.0,0.0,331064,69.16345,S,2.0,0,False,False,True,False,False,False,True,True,False
183,1,1.0,Mr. George Moore,male,33.1,0.0,0.0,817819,23.7573,C,1.0,1,False,False,False,True,False,False,False,False,True
184,1,3.0,Mr. James Brown,male,38.1,0.0,0.0,418540,0.8495,S,1.0,1,False,False,False,False,True,False,False,False,True
185,0,2.0,Mr. Charles Wilson,male,23.0,0.0,0.0,598248,2.8246,S,1.0,1,False,False,False,True,True,False,False,False,True
186,1,2.0,Mr. William Davis,male,13.2,0.0,0.0,132994,39.1438,S,1.0,1,False,False,True,False,False,False,True,False,True
187,1,3.0,Mr. George Moore,male,37.4,0.0,0.0,999283,13.0589,S,1.0,1,False,False,False,False,False,True,False,False,True
188,0,1.0,Mr. James Brown,male,33.9,0.0,0.0,304772,24.5246,S,1.0,1,False,False,False,True,False,False,False,False,True
189,0,3.0,Mr. William Davis,male,21.0,0.0,0.0,917701,10.5345,C,1.0,1,False,False,False,True,False,True,False,False,True
190,0,3.0,Miss. Mary Johnson,female,33.0,0.0,0.0,740456,9.7485,S,1.0,1,False,False,False,True,False,True,False,False,True
191,0,1.0,Mr. Charles Wilson,male,55.8,0.0,0.0,843884,69.16345,S,1.0,1,False,False,False,False,False,False,True,False,True
192,1,2.0,Mr. George Moore,male,35.3,1.0,0.0,837530,5.3103,Q,2.0,0,False,False,False,False,True,False,False,True,False
193,1,3.0,Mr. James Brown,male,29.1,0.0,0.0,473675,25.9749,S,1.0,1,False,False,False,True,False,False,False,False,True
194,1,3.0,Miss. Mary Johnson,female,30.8,0.0,0.0,704595,4.8119,S,1.0,1,False,False,False,True,True,False,False,False,True
195,0,3.0,Mr. William Davis,male,37.9,0.0,0.0,359005,15.3998,S,1.0,1,False,False,False,False,False,False,False,False,True
196,0,3.0,Mr. Charles Wilson,male,31.2,0.0,0.0,37949,0.2113,S,1.0,1,False,False,False,True,True,False,False,False,True
197,1,1.0,Miss. Linda Anderson,female,37.3,2.0,0.0,163893,39.166,S,3.0,0,False,False,False,False,False,False,True,True,False
198,1,3.0,Miss. Linda Anderson,female,41.2,0.0,0.0,212684,5.6344,S,1.0,1,False,False,False,False,False,True,False,False,True
199,1,1.0,Mr. James Brown,male,43.8,2.5,0.0,949536,65.8671,Q,3.5,0,False,False,False,False,False,False,True,False,False
200,1,3.0,Miss. Mary Johnson,female,41.3,0.0,0.0,345681,0.9817,Q,1.0,1,False,False,False,False,True,False,False,False,True
201,1,3.0,Mr. George Moore,male,30.2,1.0,0.0,418519,20.2966,C,2.0,0,False,False,False,True,False,False,False,True,False
202,0,3.0,Mr. James Brown,male,15.8,0.0,0.0,388147,3.1931,C,1.0,1,False,False,True,False,True,False,False,False,True
203,0,3.0,Mr. Charles Wilson,male,0.4,1.0,0.0,223065,14.6929,S,2.0,0,True,False,False,False,False,False,False,True,False
204,1,1.0,Mr. William Davis,male,32.0,0.0,0.0,792086,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
205,0,1.0,Mrs. Barbara Thomas,female,45.4,0.0,0.0,415519,69.16345,C,1.0,1,False,False,False,False,False,False,True,False,True
