PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
42,0,3,Mrs. Patricia Taylor,female,29.1,1,0,232182,30.1474,A6,S
43,0,3,Mr. George Moore,male,37.5,0,1,166405,33.8819,nan,S
44,1,1,Mr. James Brown,male,30.4,0,0,829482,0.7677,nan,S
45,0,2,Mr. John Smith,male,26.7,0,0,632087,1.5681,F2,S
46,1,1,Miss. Susan Jackson,female,20.3,0,0,141016,24.2055,nan,S
47,0,3,Mrs. Barbara Thomas,female,20.1,1,0,239147,14.3857,nan,S
48,0,1,Mr. Charles Wilson,male,,1,0,622545,184.1019,nan,S
49,0,3,Mrs. Barbara Thomas,female,34.6,0,0,58070,8.009,nan,C
50,0,2,Mr. Charles Wilson,male,15.3,1,0,801598,18.6775,nan,S
51,1,3,Mr. Charles Wilson,male,35.4,0,0,410337,2.7153,C103,S
52,1,3,Mrs. Patricia Taylor,female,50.2,5,0,680037,21.2496,nan,S
53,1,3,Miss. Susan Jackson,female,,0,0,721921,44.4761,C85,S
54,1,1,Miss. Mary Johnson,female,24.3,4,0,485125,26.2746,E101,S
55,0,1,Mr. Charles Wilson,male,,1,0,883841,57.3596,nan,S
56,1,1,Mr. Charles Wilson,male,,0,0,47664,7.5643,nan,S
57,0,3,Miss. Mary Johnson,female,12.7,0,0,926358,10.6473,nan,S
58,0,3,Mr. John Smith,male,,5,0,518034,9.0835,nan,S
59,0,3,Mr. Charles Wilson,male,39.0,1,1,797725,2.0279,D56,S
60,0,3,Mr. James Brown,male,,0,2,949947,7.5857,nan,S
61,0,3,Mr. John Smith,male,25.9,1,0,508477,5.2861,nan,S
62,0,1,Mr. George Moore,male,3.1,0,0,321356,61.9744,nan,C
63,1,3,Miss. Susan Jackson,female,34.5,0,0,85276,11.4537,nan,S
64,0,2,Mr. James Brown,male,38.7,0,1,808991,0.1706,nan,S
65,0,2,Mr. William Davis,male,13.9,0,0,75231,28.6263,nan,S
66,0,3,Mr. James Brown,male,27.4,1,0,642565,16.2282,nan,S
67,0,1,Mrs. Barbara Thomas,female,30.2,0,1,180116,38.3173,nan,S
68,1,1,Mr. William Davis,male,38.2,1,0,293891,4.5686,nan,S
69,0,3,Mr. Charles Wilson,male,29.8,0,1,771816,18.2809,nan,Q
70,1,1,Miss. Susan Jackson,female,6.1,0,0,476725,260.8194,nan,C
71,1,3,Miss. Mary Johnson,female,22.0,0,0,433345,3.5703,nan,S
72,0,2,Mrs. Barbara Thomas,female,33.0,0,1,272181,7.8172,nan,S
73,0,2,Miss. Susan Jackson,female,41.9,0,0,900726,4.0622,nan,S
74,1,2,Mr. James Brown,male,20.7,0,0,107847,17.2046,C103,S
75,1,2,Mrs. Barbara Thomas,female,61.4,0,0,638030,3.3646,nan,S
76,1,3,Mr. George Moore,male,2.2,0,2,787725,5.7247,nan,S
77,1,2,Miss. Mary Johnson,female,21.5,0,0,58503,23.8813,B78,S
78,0,3,Mrs. Barbara Thomas,female,28.5,0,0,824639,10.6762,C103,S
79,0,3,Miss. Susan Jackson,female,26.8,1,0,512376,6.3507,nan,Q
80,0,3,Mrs. Barbara Thomas,female,,1,0,305385,7.087,nan,S
81,1,3,Mr. John Smith,male,36.2,0,0,927562,10.7353,nan,Q
82,1,3,Mr. Charles Wilson,male,35.1,0,0,995676,0.0765,nan,C
83,0,1,Mrs. Barbara Thomas,female,30.4,0,0,368315,6.8681,E46,S
84,0,1,Miss. Susan Jackson,female,34.5,3,2,680194,178.9874,nan,C
85,0,2,Mr. William Davis,male,23.6,0,0,484329,1.6216,nan,S
86,0,3,Mr. Charles Wilson,male,6.2,0,0,269966,15.9499,nan,S
87,1,1,Mr. William Davis,male,19.3,0,0,913734,212.2013,nan,S
88,1,3,Mrs. Patricia Taylor,female,32.0,0,0,692550,4.1034,nan,S
89,1,3,Mrs. Barbara Thomas,female,32.1,0,2,82832,6.0166,D56,S
90,0,2,Mr. William Davis,male,30.3,1,0,293527,16.8293,nan,S
91,0,3,Mr. James Brown,male,37.7,0,0,776334,27.7499,nan,S
92,1,1,Miss. Susan Jackson,female,21.3,0,0,396435,239.0376,nan,S
93,1,1,Mrs. Barbara Thomas,female,30.1,0,0,952164,113.0132,nan,S
94,0,3,Mr. George Moore,male,,0,0,773389,1.1778,nan,S
95,1,3,Mr. James Brown,male,28.5,1,0,799106,14.3793,C103,S
96,0,3,Mr. George Moore,male,,0,0,386244,6.8659,nan,S
97,0,2,Mr. George Moore,male,15.8,1,0,381513,12.724,D56,S
98,0,2,Mr. John Smith,male,41.7,0,0,557108,1.0079,nan,
99,0,3,Mrs. Patricia Taylor,female,49.9,0,0,750400,2.7564,nan,C
100,0,3,Miss. Susan Jackson,female,46.7,3,3,428882,20.3203,nan,S
101,0,3,Mr. William Davis,male,33.1,0,0,53794,7.8658,nan,S
102,1,2,Mrs. Patricia Taylor,female,12.3,1,0,929580,7.181,F2,S
103,0,3,Mr. John Smith,male,29.6,0,0,992358,6.299,nan,C
104,0,2,Mr. Charles Wilson,male,52.4,1,0,138544,38.5378,nan,S
105,1,1,Mr. George Moore,male,38.7,0,0,979846,116.1131,nan,S
106,0,3,Mr. William Davis,male,26.7,0,2,47555,4.1325,E101,S
107,0,1,Miss. Mary Johnson,female,38.8,1,0,720568,10.4999,nan,S
108,1,3,Mrs. Patricia Taylor,female,11.3,2,2,828838,3.7745,nan,S
109,0,3,Mr. George Moore,male,,1,0,464788,32.958,nan,S
110,0,1,Mr. John Smith,male,14.0,1,0,50262,73.1884,nan,Q
111,0,3,Miss. Mary Johnson,female,36.5,1,2,887752,9.9119,nan,S
112,0,3,Mr. William Davis,male,40.1,0,0,752021,11.7951,F2,S
113,1,3,Mr. Charles Wilson,male,,0,2,426432,5.9248,nan,S
114,1,3,Mrs. Barbara Thomas,female,17.0,0,0,471333,21.3931,nan,S
115,1,3,Mr. Charles Wilson,male,,0,2,746496,9.6309,nan,C
116,1,3,Mr. James Brown,male,22.6,0,0,302428,1.6139,nan,S
117,1,3,Mr. John Smith,male,18.2,0,0,685531,1.7964,nan,S
118,0,2,Mrs. Patricia Taylor,female,34.6,0,0,887059,15.3945,C85,S
119,1,3,Mr. John Smith,male,18.7,1,0,941837,35.8517,E101,C
120,0,1,Mr. William Davis,male,7.0,0,0,433751,30.969,D56,C
121,1,3,Miss. Linda Anderson,female,,0,0,99023,26.4771,A6,S
122,1,3,Mr. James Brown,male,,0,0,217012,18.7763,nan,S
123,0,1,Mrs. Patricia Taylor,female,33.3,1,0,174772,23.9206,nan,S
124,0,3,Mr. William Davis,male,31.9,1,1,486799,0.4812,nan,Q
125,0,3,Miss. Susan Jackson,female,31.2,0,0,51516,1.3964,nan,S
126,0,1,Mr. Charles Wilson,male,,0,0,287721,109.5167,nan,S
127,1,3,Mr. Charles Wilson,male,47.0,0,0,265623,2.8955,nan,S
128,1,3,Mr. William Davis,male,,0,0,549303,6.0327,nan,S
129,0,1,Mr. Charles Wilson,male,,0,0,101104,58.5103,A6,S
130,0,3,Miss. Susan Jackson,female,6.8,0,0,386556,16.8049,nan,Q
131,0,2,Miss. Susan Jackson,female,49.7,0,2,363884,2.4034,C123,S
132,0,3,Mr. John Smith,male,,0,1,762644,6.7794,nan,C
133,0,3,Mr. James Brown,male,19.4,3,0,424452,8.6285,nan,S
134,0,3,Mrs. Barbara Thomas,female,,3,0,338784,10.1183,nan,S
135,1,3,Miss. Susan Jackson,female,7.6,0,0,617478,22.1745,nan,S
136,0,3,Mr. James Brown,male,30.2,0,0,139516,2.4486,nan,S
137,0,3,Mr. James Brown,male,,0,0,973208,21.442,nan,Q
138,1,2,Mr. John Smith,male,27.0,0,0,183441,23.6102,nan,C
139,0,3,Mrs. Patricia Taylor,female,7.4,3,0,669006,10.5513,nan,S
140,1,1,Mr. James Brown,male,58.5,0,0,97007,101.0016,nan,S
141,1,3,Mr. William Davis,male,37.7,1,0,691266,6.9038,nan,S
142,0,1,Mr. John Smith,male,,0,1,752003,12.5128,nan,Q
143,0,1,Miss. Mary Johnson,female,,4,0,57728,92.0566,nan,C
144,0,1,Mr. Charles Wilson,male,43.6,0,1,811310,62.4751,nan,C
145,0,3,Mr. James Brown,male,41.0,1,5,519958,13.2589,nan,S
146,0,2,Mr. Charles Wilson,male,,0,0,925357,8.2498,nan,S
147,0,3,Mr. George Moore,male,50.2,0,0,19145,30.8584,nan,S
148,0,1,Mr. James Brown,male,,0,0,622866,74.3571,nan,S
149,0,2,Mr. George Moore,male,24.5,0,2,28226,1.7854,nan,S
150,0,3,Mr. William Davis,male,0.4,2,3,274946,7.7672,nan,S
151,1,3,Mr. James Brown,male,,2,0,558407,18.3566,nan,S
152,0,2,Mr. Charles Wilson,male,10.5,1,0,73560,31.6107,nan,C
153,0,3,Mrs. Barbara Thomas,female,21.7,0,1,67353,8.8712,nan,C
154,0,3,Mrs. Patricia Taylor,female,14.8,1,0,255741,29.2681,nan,S
155,1,3,Mr. Charles Wilson,male,24.4,0,1,758081,4.0498,nan,S
156,0,1,Mrs. Patricia Taylor,female,36.1,0,2,395145,44.4064,nan,S
157,1,1,Mr. John Smith,male,29.9,0,0,465342,192.2467,nan,C
158,1,3,Mr. Charles Wilson,male,40.0,0,0,605929,227.53,nan,C
159,0,1,Mr. James Brown,male,48.1,0,0,61712,97.2256,nan,C
160,1,3,Mr. James Brown,male,24.4,0,0,455405,25.4651,nan,S
161,0,3,Mrs. Barbara Thomas,female,22.8,0,0,985288,1.2085,nan,S
162,1,3,Miss. Mary Johnson,female,,1,1,664373,26.0318,G6,S
163,1,3,Mrs. Barbara Thomas,female,44.7,0,2,340429,5.0255,F2,S
164,0,3,Mr. James Brown,male,40.4,0,2,125278,2.5534,nan,S
165,0,2,Mr. John Smith,male,15.9,0,0,519272,5.4722,nan,C
166,1,3,Mr. George Moore,male,35.8,0,1,708309,7.036,nan,S
167,0,2,Mr. William Davis,male,31.3,0,0,175201,5.7855,nan,S
168,0,3,Mr. Charles Wilson,male,45.0,0,0,820944,5.0245,C103,S
169,0,3,Mr. James Brown,male,21.4,0,0,636365,1.885,E46,Q
170,0,3,Mr. John Smith,male,,1,0,744391,4.566,nan,S
171,1,3,Mr. John Smith,male,39.7,0,2,466770,11.0408,nan,S
172,0,3,Miss. Susan Jackson,female,0.4,1,0,274208,7.5807,nan,S
173,0,2,Mrs. Barbara Thomas,female,19.1,0,0,629902,8.515,nan,S
174,0,2,Miss. Mary Johnson,female,,0,0,192639,27.4441,A6,S
175,1,3,Mr. George Moore,male,14.8,1,0,127639,29.1162,D56,S
176,0,2,Mr. James Brown,male,18.8,0,0,302155,28.2765,nan,S
177,1,1,Mr. George Moore,male,,0,0,343296,33.8913,nan,C
178,0,2,Mrs. Barbara Thomas,female,41.6,1,0,738871,27.2861,nan,S
179,1,2,Mr. George Moore,male,26.0,0,0,20960,3.297,nan,S
180,0,2,Mr. John Smith,male,46.1,1,1,496744,2.7926,B78,Q
181,0,1,Miss. Mary Johnson,female,14.3,0,0,131789,35.6225,nan,S
182,0,1,Mr. William Davis,male,12.3,1,0,331064,263.0,nan,S
183,1,1,Mr. George Moore,male,,0,0,817819,23.7573,nan,C
184,1,3,Mr. James Brown,male,38.1,0,0,418540,0.8495,E46,S
185,0,2,Mr. Charles Wilson,male,23.0,0,0,598248,2.8246,nan,S
186,1,2,Mr. William Davis,male,13.2,0,0,132994,39.1438,D56,S
187,1,3,Mr. George Moore,male,,0,2,999283,13.0589,G6,S
188,0,1,Mr. James Brown,male,,0,0,304772,24.5246,A6,S
189,0,3,Mr. William Davis,male,21.0,0,1,917701,10.5345,nan,C
190,0,3,Miss. Mary Johnson,female,33.0,0,6,740456,9.7485,nan,S
191,0,1,Mr. Charles Wilson,male,55.8,0,0,843884,89.4999,nan,S
192,1,2,Mr. George Moore,male,35.3,1,0,837530,5.3103,nan,Q
193,1,3,Mr. James Brown,male,,0,0,473675,25.9749,nan,S
194,1,3,Miss. Mary Johnson,female,,0,2,704595,4.8119,nan,S
195,0,3,Mr. William Davis,male,37.9,0,2,359005,15.3998,nan,S
196,0,3,Mr. Charles Wilson,male,31.2,0,0,37949,0.2113,B78,S
197,1,1,Miss. Linda Anderson,female,,2,1,163893,39.166,nan,S
198,1,3,Miss. Linda Anderson,female,41.2,0,0,212684,5.6344,nan,S
199,1,1,Mr. James Brown,male,43.8,3,2,949536,65.8671,nan,Q
200,1,3,Miss. Mary Johnson,female,41.3,0,2,345681,0.9817,nan,Q
201,1,3,Mr. George Moore,male,30.2,1,0,418519,20.2966,G6,C
202,0,3,Mr. James Brown,male,15.8,0,0,388147,3.1931,nan,C
203,0,3,Mr. Charles Wilson,male,0.4,1,0,223065,14.6929,D56,S
204,1,1,Mr. William Davis,male,32.0,0,0,792086,136.5528,nan,S
205,0,1,Mrs. Barbara Thomas,female,45.4,0,1,415519,69.3215,nan,C
206,0,1,Mr. James Brown,male,44.1,0,0,584989,113.44,nan,S
207,0,1,Mr. James Brown,male,41.5,0,0,846943,91.0809,nan,Q
208,1,3,Miss. Susan Jackson,female,28.6,2,0,90664,5.7112,nan,S
209,0,2,Miss. Linda Anderson,female,45.5,0,3,421496,33.0948,nan,S
210,0,1,Mr. James Brown,male,43.1,0,0,49427,29.3273,nan,S
211,0,3,Mr. Charles Wilson,male,,1,0,107180,11.0083,nan,Q
212,1,3,Mr. George Moore,male,39.5,0,0,637838,17.7847,nan,S
213,1,3,Mrs. Barbara Thomas,female,21.9,3,4,934471,6.1926,E46,C
214,0,3,Miss. Linda Anderson,female,37.5,1,1,934165,4.6883,nan,S
215,1,1,Miss. Susan Jackson,female,10.9,0,0,87952,51.658,nan,S
216,0,2,Mr. George Moore,male,,1,0,76046,34.071,nan,C
217,0,3,Mr. George Moore,male,45.0,0,0,116918,34.5559,E101,S
218,1,3,Mr. John Smith,male,,0,0,831632,10.2393,C123,S
219,1,1,Mr. George Moore,male,38.9,0,0,339586,90.983,nan,S
220,1,3,Mr. Charles Wilson,male,31.0,0,2,464887,30.3663,nan,S
221,1,1,Mrs. Barbara Thomas,female,0.4,1,0,625358,8.7148,nan,S
222,0,1,Mr. William Davis,male,28.6,2,1,592456,22.1817,E101,S
223,0,3,Mr. James Brown,male,36.3,0,0,844754,16.0431,C103,S
224,0,3,Mrs. Patricia Taylor,female,21.9,0,0,965200,22.5657,C103,Q
225,0,3,Mr. John Smith,male,19.4,3,0,80246,25.2865,nan,S
226,0,1,Miss. Susan Jackson,female,50.6,0,0,704252,45.0514,nan,C
227,1,3,Mr. John Smith,male,28.8,0,0,549871,1.2166,E46,S
228,0,2,Mr. William Davis,male,36.3,0,0,354864,11.5173,nan,S
229,1,1,Mr. William Davis,male,40.9,1,0,458431,22.0348,nan,S
230,1,3,Mr. James Brown,male,15.2,0,0,690213,4.4743,nan,S
231,1,3,Miss. Linda Anderson,female,32.5,1,0,409325,19.2346,C123,S
232,0,3,Mr. George Moore,male,48.8,1,6,249285,1.0209,nan,S
233,0,3,Mr. Charles Wilson,male,56.1,0,0,331901,22.8518,nan,S
234,0,3,Mr. William Davis,male,30.3,0,1,803091,7.2545,nan,S
235,0,3,Mr. John Smith,male,26.2,1,0,273382,11.7845,nan,S
236,1,1,Miss. Susan Jackson,female,33.6,0,1,655558,7.89,nan,S
237,0,2,Mr. William Davis,male,33.2,1,0,915643,8.2304,nan,S
238,0,2,Miss. Linda Anderson,female,49.8,2,1,25064,1.8796,nan,Q
239,1,2,Miss. Susan Jackson,female,,0,0,172187,65.1647,nan,S
240,0,3,Mr. William Davis,male,25.6,1,0,697312,21.4035,B78,S
241,1,3,Mrs. Barbara Thomas,female,,1,0,670980,8.0016,G6,S
242,1,1,Mr. James Brown,male,15.0,1,0,634078,21.2596,nan,C
243,1,1,Mr. George Moore,male,35.2,0,0,899417,227.6298,C123,S
244,0,3,Mr. John Smith,male,41.4,0,0,54258,5.4926,nan,C
245,0,1,Miss. Linda Anderson,female,20.3,0,0,669830,14.7442,nan,S
246,1,3,Mrs. Patricia Taylor,female,40.9,0,1,949507,10.7666,nan,Q
247,0,3,Mr. John Smith,male,45.8,0,0,955075,37.4189,nan,C
248,1,3,Miss. Mary Johnson,female,57.8,1,0,821100,0.0499,B78,C
249,1,3,Mr. Charles Wilson,male,,0,0,349403,3.5356,nan,S
250,1,3,Mr. James Brown,male,,0,0,646480,36.2423,nan,S
251,0,2,Mr. George Moore,male,15.2,0,0,368720,3.7528,nan,S
252,0,3,Mrs. Patricia Taylor,female,13.7,1,0,639769,1.5624,nan,S
253,1,3,Mr. James Brown,male,47.8,0,2,907937,10.9773,nan,C
254,0,2,Mr. John Smith,male,7.7,0,1,173118,39.5874,nan,S
255,0,3,Mr. Charles Wilson,male,47.4,0,1,212049,8.429,nan,S
256,0,3,Mr. Charles Wilson,male,17.1,1,0,781888,67.7919,nan,S
257,1,3,Mr. James Brown,male,19.8,0,1,480471,14.779,nan,S
258,1,3,Mr. James Brown,male,27.5,0,0,15397,1.0005,nan,S
259,0,3,Miss. Linda Anderson,female,19.5,3,0,896357,64.1959,nan,C
260,0,3,Mr. John Smith,male,43.2,1,0,617769,6.8129,E101,S
261,0,3,Mr. George Moore,male,56.0,3,0,163305,4.4049,A6,S
262,1,3,Mr. George Moore,male,20.2,0,0,486552,10.6102,G6,S
263,0,3,Mrs. Barbara Thomas,female,23.4,0,0,332452,4.717,nan,S
264,0,3,Miss. Mary Johnson,female,27.3,1,0,210798,1.1755,nan,S
265,1,3,Mr. Charles Wilson,male,37.5,0,0,466435,0.0186,D56,S
266,1,1,Miss. Susan Jackson,female,27.5,1,0,506574,50.1547,nan,S
267,1,3,Mr. James Brown,male,49.8,0,0,535418,23.5712,nan,S
268,1,3,Mr. John Smith,male,46.3,0,0,658581,11.0418,nan,C
269,0,1,Mr. John Smith,male,,0,0,548359,599.7654,nan,S
270,0,3,Mr. William Davis,male,,0,1,881949,4.3948,B78,Q
271,1,1,Mr. James Brown,male,51.7,0,0,382384,27.6474,nan,C
272,1,2,Mrs. Patricia Taylor,female,22.5,0,0,536406,3.4811,nan,C
273,1,3,Mrs. Barbara Thomas,female,,4,0,666023,2.3296,nan,S
274,1,1,Miss. Mary Johnson,female,22.0,0,0,72408,28.2016,nan,Q
275,0,3,Mr. Charles Wilson,male,22.3,0,1,61786,20.4654,nan,C
276,0,3,Mr. James Brown,male,5.5,1,0,615559,30.7044,nan,C
277,1,3,Miss. Linda Anderson,female,10.4,0,0,29158,48.0008,nan,S
278,1,1,Mr. John Smith,male,30.8,0,1,827519,22.2048,nan,C
279,1,2,Mr. James Brown,male,51.6,1,0,98114,42.6227,nan,Q
280,1,3,Mr. William Davis,male,,0,0,718481,5.1724,nan,S
281,1,3,Miss. Susan Jackson,female,,1,0,531358,1.5565,nan,S
282,0,3,Mr. James Brown,male,54.4,1,0,554162,26.5254,nan,Q
283,0,2,Mr. George Moore,male,,4,0,249139,20.2178,nan,S
284,0,3,Mrs. Barbara Thomas,female,5.6,0,0,879875,2.34,G6,S
285,0,3,Mr. George Moore,male,17.7,0,6,575109,7.3037,C85,S
286,0,3,Mr. James Brown,male,20.1,0,0,649963,4.4023,nan,Q
287,0,1,Mr. George Moore,male,,0,0,332726,112.1249,nan,S
288,0,3,Mr. John Smith,male,27.8,1,0,132603,7.8529,nan,S
289,0,3,Mrs. Patricia Taylor,female,43.5,0,2,950291,58.9633,nan,S
290,0,3,Mr. William Davis,male,11.1,0,1,992207,0.7319,nan,C
291,0,2,Mr. George Moore,male,,1,0,424921,8.7706,D56,S
292,0,3,Miss. Mary Johnson,female,35.4,0,0,603669,8.5486,nan,C
293,1,3,Mrs. Barbara Thomas,female,28.5,0,0,908232,9.0926,E46,Q
294,0,1,Mrs. Barbara Thomas,female,32.4,0,0,507821,31.8951,nan,S
295,0,3,Mr. George Moore,male,32.6,1,0,402949,16.9848,nan,S
296,0,3,Mr. Charles Wilson,male,,0,0,185725,27.0065,nan,S
297,1,1,Miss. Linda Anderson,female,,1,0,878450,234.5524,nan,S
298,0,2,Mrs. Patricia Taylor,female,47.8,0,2,897024,32.7047,nan,S
299,1,3,Mr. John Smith,male,47.0,1,0,888058,24.7129,nan,C
300,0,1,Mr. George Moore,male,44.4,1,2,620505,67.1765,nan,C
301,0,3,Mr. Charles Wilson,male,6.9,0,0,788873,22.7248,nan,S
302,0,2,Mrs. Patricia Taylor,female,,0,0,959756,7.2339,nan,S
303,0,3,Mr. William Davis,male,39.2,0,0,476548,6.6078,nan,S
304,1,1,Mr. Charles Wilson,male,7.4,1,0,344943,32.0152,nan,S
305,1,3,Mr. Charles Wilson,male,26.6,0,0,334329,8.1895,nan,S
306,1,3,Miss. Mary Johnson,female,33.7,0,0,481529,4.3717,nan,C
307,0,3,Miss. Linda Anderson,female,53.8,0,0,313682,42.3799,nan,Q
308,0,3,Mr. William Davis,male,40.2,0,0,816775,4.8775,nan,S
309,1,1,Miss. Susan Jackson,female,17.2,0,1,508905,8.668,nan,C
310,0,3,Miss. Mary Johnson,female,54.3,0,0,221470,9.7276,nan,S
311,0,1,Mr. George Moore,male,30.3,0,0,444448,4.9387,nan,C
312,0,1,Mr. John Smith,male,26.0,1,0,130026,9.8401,nan,S
313,0,2,Mr. William Davis,male,,0,2,244257,4.9536,E46,S
314,1,3,Miss. Mary Johnson,female,6.2,0,0,63106,8.1156,nan,Q
315,1,3,Mr. John Smith,male,28.1,3,0,910754,7.3819,nan,S
316,1,3,Mr. John Smith,male,36.9,1,0,91227,20.9027,E101,C
317,0,3,Mrs. Patricia Taylor,female,24.1,2,0,456295,17.4857,nan,S
318,0,2,Mr. James Brown,male,35.8,0,3,690388,11.1136,G6,S
319,0,3,Miss. Linda Anderson,female,,0,0,576423,5.2783,nan,S
320,0,2,Mr. John Smith,male,27.7,0,0,696426,7.6097,nan,S
321,0,3,Mr. William Davis,male,34.3,1,0,653887,19.3336,C85,S
322,1,1,Mrs. Patricia Taylor,female,32.5,0,0,764077,4.4921,nan,S
323,1,3,Miss. Mary Johnson,female,6.4,0,2,93470,0.1678,nan,S
324,0,3,Mr. George Moore,male,23.3,0,0,817342,20.6363,nan,S
325,1,1,Mrs. Patricia Taylor,female,,0,0,778378,54.4701,nan,S
326,1,1,Mrs. Patricia Taylor,female,,0,0,148213,11.7831,nan,S
327,0,3,Mr. James Brown,male,29.9,0,0,55950,3.4921,nan,Q
328,0,3,Miss. Mary Johnson,female,28.4,0,1,721083,35.0439,nan,S
329,0,2,Mr. Charles Wilson,male,52.4,0,0,288369,39.2514,nan,S
330,0,3,Mr. George Moore,male,,4,0,503466,16.0827,nan,S
331,0,1,Mr. George Moore,male,41.4,1,2,305103,55.2901,nan,S
332,1,2,Miss. Linda Anderson,female,15.6,2,0,845624,14.6929,nan,S
333,0,3,Miss. Mary Johnson,female,34.9,1,0,89711,48.0832,E101,S
334,0,2,Mr. James Brown,male,,0,0,151123,67.4933,nan,S
335,0,3,Mr. Charles Wilson,male,,0,4,212500,3.1514,nan,S
336,0,2,Mr. John Smith,male,17.1,0,0,789572,33.3312,A6,C
337,1,2,Mr. John Smith,male,54.4,0,0,275593,4.3941,E101,S
338,1,3,Mrs. Barbara Thomas,female,25.3,0,0,968599,3.1227,nan,S
339,0,2,Mrs. Patricia Taylor,female,,0,0,376357,22.546,A6,S
340,0,3,Mr. John Smith,male,44.2,0,0,694550,6.7495,nan,C
341,0,1,Miss. Susan Jackson,female,35.6,0,0,634533,225.2519,D56,S
342,0,1,Mr. George Moore,male,36.3,0,0,107069,7.8307,nan,S
343,0,1,Mrs. Barbara Thomas,female,9.4,0,0,691501,60.1833,nan,S
344,0,3,Mrs. Patricia Taylor,female,32.7,1,0,243597,32.5964,nan,S
345,0,2,Mr. Charles Wilson,male,,0,1,558196,46.8918,G6,S
346,0,3,Mr. John Smith,male,39.6,0,2,376991,2.213,nan,C
347,1,3,Miss. Susan Jackson,female,31.9,0,0,917342,263.0,nan,S
348,0,3,Mr. William Davis,male,54.5,0,0,788628,12.5486,nan,S
349,0,1,Mr. Charles Wilson,male,27.0,0,0,959826,14.5852,G6,S
350,1,3,Mr. William Davis,male,20.7,0,0,978214,44.7553,G6,S
351,0,3,Mr. William Davis,male,,0,1,810444,32.0081,nan,S
352,1,3,Mr. George Moore,male,40.8,0,0,962393,2.3746,nan,S
353,1,3,Mrs. Barbara Thomas,female,,2,0,27412,1.6789,nan,S
354,0,3,Miss. Linda Anderson,female,,2,1,382174,1.1606,nan,S
